RANK,ID,BACKGROUND,FUR,CLOTHES,EYES,MOUTH,HATS,EARRING,BACKGROUND Rarity,FUR Rarity,CLOTHES Rarity,EYES Rarity,MOUTH Rarity,HATS Rarity,EARRING Rarity,Total Statistical Rarity
1,333,Solana,Red,Cowboy Shirt,Laser Eyes,Bored Cigar,Bunny Ears,Gold Stud,100.000000000000000,5.249125145809030,0.766538910181636,0.083319446758874,1.916347275454090,1.966338943509420,4.399266788868520,555.751193118346000
2,1111,Solana,White,Bone Tee,Blue Beams,Rage,Fez,Cross,100.000000000000000,3.766038993501080,1.749708381936340,0.116647225462423,3.249458423596070,4.232627895350770,0.699883352774538,739.897629659292000
3,111,Solana,Cheetah,Basc T Black,Blue Beams,Bored Cigar,Party Hat 2,Silver Hoop,100.000000000000000,4.482586235627400,2.216297283786040,0.116647225462423,1.916347275454090,0.899850024995834,10.464922512914500,2091.276437651650000
4,3047,Solana,Grey,Spacesuit,Sleepy,Phoneme Wah,Bandana Blue,Cross,100.000000000000000,4.782536243959340,0.983169471754708,6.815530744875850,1.133144475920680,1.099816697217130,0.699883352774538,2795.230293965430000
5,3004,Solana,Gold,Blue Dress,Scumbag,Bored Pipe,Vietnam Era Helmet,Silver Hoop,100.000000000000000,0.999833361106482,0.799866688885186,2.799533411098150,0.716547242126312,1.949675054157640,10.464922512914500,3273.210758433970000
6,5649,Solana,Golden Brown,Black Coat,Blindfold,Bored Unshaven Dagger,Basc Hat Black,Cross,100.000000000000000,8.281953007832030,1.166472254624230,2.532911181469760,1.016497250458260,1.899683386102320,0.699883352774538,3307.045977015480000
7,2436,Solana,Death Bot,Blue Dress,Wide Eyed,Bored Party Horn,Girls Pink Hair,Gold Hoop,100.000000000000000,1.999666722212960,0.799866688885186,5.032494584235960,0.816530578236960,1.083152807865360,4.799200133311110,3416.564234103300000
8,3986,Solana,Noise,Service,Crazy,Bored Dagger,Laurel Wreath,Diamond Stud,100.000000000000000,2.182969505082490,2.116313947675390,4.365939010164970,0.949841693051158,0.999833361106482,1.899683386102320,3638.861321223660000
9,5437,Solana,Gold,Basc T Black,Crazy,Bored Dagger,Girls Pink Hair,Gold Hoop,100.000000000000000,0.999833361106482,2.216297283786040,4.365939010164970,0.949841693051158,1.083152807865360,4.799200133311110,4776.866698054020000
10,5351,Solana,Robot,Lab Coat,Eyepatch,Bored Unshaven Cigar,Trippy Captains Hat,Gold Hoop,100.000000000000000,3.049491751374770,0.916513914347609,2.899516747208800,1.049825029161810,1.216463922679550,4.799200133311110,4966.805624413300000
11,4909,Solana,Trippy,Guayabera,Eyepatch,Bored,Girls Pink Hair,Cross,100.000000000000000,1.166472254624230,1.816363939343440,2.899516747208800,16.097317113814400,1.083152807865360,0.699883352774538,7496.728781146890000
12,3966,Solana,Brown,Stripped Tee,Cyborg,Grin Gold Grill,Irish Boho,Cross,100.000000000000000,12.747875354107600,4.199300116647230,1.049825029161810,1.033161139810030,1.999666722212960,0.699883352774538,8126.115497868160000
13,555,Solana,Cream,Basc T Red,Blue Beams,Bored Unshaven Dagger,Beanie,Silver Stud,100.000000000000000,7.382102982836190,2.149641726378940,0.116647225462423,1.016497250458260,5.699050158306950,7.615397433761040,8166.234691699650000
14,2172,Solana,Brown,Leather Jacket,X Eyes,Grin Multicolor,Party Hat,Diamond Stud,100.000000000000000,12.747875354107600,1.699716713881020,1.716380603232790,1.083152807865360,1.216463922679550,1.899683386102320,9308.895159300120000
15,4613,Solana,Cream,Sleeveless Logo T,Heart,Jovial,Ww2 Pilot Helm,Cross,100.000000000000000,7.382102982836190,2.132977837027160,3.816030661556410,3.132811198133640,0.766538910181636,0.699883352774538,10098.860867786900000
16,4959,Solana,Brown,Prison Jumpsuit,Hypnotized,Phoneme Vuh,Kings Crown,Cross,100.000000000000000,12.747875354107600,2.082986168971840,1.949675054157640,3.116147308781870,0.899850024995834,0.699883352774538,10160.152019892600000
17,2471,Solana,Dmt,Toga,X Eyes,Bored Unshaved Pipe,Halo,Silver Stud,100.000000000000000,1.716380603232790,1.983002832861190,1.716380603232790,0.899850024995834,2.832861189801700,7.615397433761040,11340.665255408000000
18,3385,Solana,Blue,Spacesuit,Heart,Bored Pipe,Party Hat,Silver Stud,100.000000000000000,4.699216797200470,0.983169471754708,3.816030661556410,0.716547242126312,1.216463922679550,7.615397433761040,11703.138844502100000
19,1292,Solana,Dmt,Lumberjack Shirt,3D,Bored Cigar,Beanie,Cross,100.000000000000000,1.716380603232790,1.766372271288120,5.332444592567910,1.916347275454090,5.699050158306950,0.699883352774538,12357.327152446500000
20,1819,Solana,Robot,Rainbow Suspender,Sad,Tongue Out,Sushi Chef Headband,Diamond Stud,100.000000000000000,3.049491751374770,1.066488918513580,5.699050158306950,1.966338943509420,1.833027828695220,1.899683386102320,12690.973959182000000
21,2418,Solana,Dmt,Blue Dress,Heart,Bored Unshaven Solana,Spinner Hat,Diamond Stud,100.000000000000000,1.716380603232790,0.799866688885186,3.816030661556410,6.232294617563740,2.082986168971840,1.899683386102320,12919.885069954300000
22,666,Solana,Dark Brown,Caveman Pelt,Blue Beams,Bored Pizza,Party Hat,EMPTY,100.000000000000000,13.164472587902000,0.966505582402933,0.116647225462423,1.049825029161810,1.216463922679550,70.121646392268000,13290.781093430600000
23,3716,Solana,Zombie,Stunt Jacket,3D,Bored Pipe,Baby Bonet,Gold Stud,100.000000000000000,2.699550074987500,1.699716713881020,5.332444592567910,0.716547242126312,1.849691718046990,4.399266788868520,14266.543510775000000
24,1127,Solana,Dmt,Tanktop,Hypnotized,Grin Diamond Grill,Horns,Silver Hoop,100.000000000000000,1.716380603232790,2.049658390268290,1.949675054157640,0.999833361106482,2.066322279620060,10.464922512914500,14829.244186699400000
25,5112,Solana,White,Prison Jumpsuit,Eyepatch,Bored Unshaved Pipe,Laurel Wreath,Silver Stud,100.000000000000000,3.766038993501080,2.082986168971840,2.899516747208800,0.899850024995834,0.999833361106482,7.615397433761040,15584.294627140300000
26,5232,Solana,Gold,Basc T Black,Hypnotized,Bored Unshaven Solana,Basc Flipped Brim,Diamond Stud,100.000000000000000,0.999833361106482,2.216297283786040,1.949675054157640,6.232294617563740,3.082819530078320,1.899683386102320,15768.673990379700000
27,3959,Solana,Tan,Cowboy Shirt,Bloodshot,Bored Unshaven Party Horn,Bandana Blue,Gold Stud,100.000000000000000,5.999000166638890,0.766538910181636,8.031994667555410,0.899850024995834,1.099816697217130,4.399266788868520,16080.784513670300000
28,4639,Solana,Dmt,Sailor Shirt,Robot,Bored Dagger,Irish Boho,Gold Hoop,100.000000000000000,1.716380603232790,3.199466755540740,3.249458423596070,0.949841693051158,1.999666722212960,4.799200133311110,16265.967253753600000
29,3588,Solana,Cheetah,Service,Crazy,Bored Unshaven Dagger,Police Morotcycle Helmet,Gold Stud,100.000000000000000,4.482586235627400,2.116313947675390,4.365939010164970,1.016497250458260,0.883186135644059,4.399266788868520,16357.810139977800000
30,5011,Solana,Trippy,Caveman Pelt,Bloodshot,Phoneme Vuh,Commie Hat,Diamond Stud,100.000000000000000,1.166472254624230,0.966505582402933,8.031994667555410,3.116147308781870,3.232794534244290,1.899683386102320,17329.239302979200000
31,2025,Solana,Tan,Bone Necklace,Sad,Bored Bubblegum,Party Hat,Gold Hoop,100.000000000000000,5.999000166638890,1.483086152307950,5.699050158306950,0.616563906015664,1.216463922679550,4.799200133311110,18251.305088510900000
32,5661,Solana,Robot,Tweed Suit,Wide Eyed,Jovial,Laurel Wreath,Gold Hoop,100.000000000000000,3.049491751374770,0.816530578236960,5.032494584235960,3.132811198133640,0.999833361106482,4.799200133311110,18837.095498411800000
33,2508,Solana,Dmt,Black Holes T,Zombie,Phoneme Ooo,Trippy Captains Hat,Silver Hoop,100.000000000000000,1.716380603232790,2.066322279620060,2.116313947675390,1.983002832861190,1.216463922679550,10.464922512914500,18947.431056136900000
34,722,Solana,Noise,Stunt Jacket,Sunglasses,Bored Pipe,Sea Capitan Hat,Silver Stud,100.000000000000000,2.182969505082490,1.699716713881020,3.199466755540740,0.716547242126312,2.949508415264120,7.615397433761040,19106.839590050000000
35,2879,Solana,Robot,Prison Jumpsuit,Sleepy,Bored Unshaven Pizza,Basc Hat Red,Gold Stud,100.000000000000000,3.049491751374770,2.082986168971840,6.815530744875850,1.266455590734880,0.833194467588735,4.399266788868520,20096.951000569300000
36,250,Solana,Trippy,Blue Dress,Blindfold,Small Grin,Bowler,Silver Hoop,100.000000000000000,1.166472254624230,0.799866688885186,2.532911181469760,2.766205632394600,3.166138976837190,10.464922512914500,21660.198757692800000
37,2723,Solana,Grey,Pimp Coat,X Eyes,Dumbfounded,Trippy Captains Hat,Gold Hoop,100.000000000000000,4.782536243959340,1.316447258790200,1.716380603232790,3.549408431928010,1.216463922679550,4.799200133311110,22392.336066904600000
38,980,Solana,Grey,Bone Tee,Closed,Bored Unshaven Solana,Party Hat 2,Cross,100.000000000000000,4.782536243959340,1.749708381936340,6.865522412931180,6.232294617563740,0.899850024995834,0.699883352774538,22549.727791067500000
39,1622,Solana,Robot,Service,Sleepy,Bored Solana,Police Morotcycle Helmet,Cross,100.000000000000000,3.049491751374770,2.116313947675390,6.815530744875850,8.398600233294450,0.883186135644059,0.699883352774538,22834.528818568700000
40,3590,Solana,Death Bot,Prison Jumpsuit,Zombie,Bored Cigar,Bowler,Gold Stud,100.000000000000000,1.999666722212960,2.082986168971840,2.116313947675390,1.916347275454090,3.166138976837190,4.399266788868520,23529.277274705500000
41,1354,Solana,White,Tie Dye,Eyepatch,Bored Party Horn,Spinner Hat,Silver Stud,100.000000000000000,3.766038993501080,1.699716713881020,2.899516747208800,0.816530578236960,2.082986168971840,7.615397433761040,24040.217452607100000
42,4789,Solana,Robot,Admirals Coat,Holographic,Bored Unshaven Solana,Bandana Blue,Gold Hoop,100.000000000000000,3.049491751374770,1.166472254624230,2.066322279620060,6.232294617563740,1.099816697217130,4.799200133311110,24178.930104213600000
43,1544,Solana,Zombie,Caveman Pelt,Scumbag,Rage,Faux Hawk,Silver Hoop,100.000000000000000,2.699550074987500,0.966505582402933,2.799533411098150,3.249458423596070,0.983169471754708,10.464922512914500,24420.626196281300000
44,1,Solana,Gold,Wool Turtleneck,Laser Eyes,Bored,Party Hat,EMPTY,100.000000000000000,0.999833361106482,2.216297283786040,0.083319446758874,16.097317113814400,1.216463922679550,70.121646392268000,25351.686328368200000
45,2248,Solana,Brown,Guayabera,Eyepatch,Bored Unshaven Cigar,Basc Hat Black,Diamond Stud,100.000000000000000,12.747875354107600,1.816363939343440,2.899516747208800,1.049825029161810,1.899683386102320,1.899683386102320,25435.815895991900000
46,449,Solana,Gold,Wool Turtleneck,Sleepy,Bored Pipe,Commie Hat,Silver Stud,100.000000000000000,0.999833361106482,2.216297283786040,6.815530744875850,0.716547242126312,3.232794534244290,7.615397433761040,26642.245406078000000
47,986,Solana,Grey,Biker Vest,X Eyes,Bored Pipe,Irish Boho,Silver Hoop,100.000000000000000,4.782536243959340,2.216297283786040,1.716380603232790,0.716547242126312,1.999666722212960,10.464922512914500,27279.621933927800000
48,5271,Solana,Black,Admirals Coat,Zombie,Boerd Unshaven Bubblegum,Empty,Cross,100.000000000000000,10.631561406432300,1.166472254624230,2.116313947675390,0.849858356940510,18.796867188801900,0.699883352774538,29343.319691948300000
49,817,Solana,Zombie,Wool Turtleneck,Blindfold,Dumbfounded,Sea Capitan Hat,Diamond Stud,100.000000000000000,2.699550074987500,2.216297283786040,2.532911181469760,3.549408431928010,2.949508415264120,1.899683386102320,30138.817172196300000
50,218,Solana,Gold,Black Coat,X Eyes,Bored,Vietnam Era Helmet,Gold Hoop,100.000000000000000,0.999833361106482,1.166472254624230,1.716380603232790,16.097317113814400,1.949675054157640,4.799200133311110,30150.896537796600000
