"name","trait","count","percent"
"Solana","BACKGROUND","6000","100"
"Black","FUR","638","10.633333333333333"
"Blue","FUR","282","4.7"
"Brown","FUR","765","12.75"
"Cheetah","FUR","269","4.483333333333333"
"Cream","FUR","443","7.383333333333334"
"Dark Brown","FUR","789","13.15"
"Death Bot","FUR","120","2"
"Dmt","FUR","103","1.7166666666666668"
"Gold","FUR","60","1"
"Golden Brown","FUR","497","8.283333333333333"
"Grey","FUR","287","4.783333333333333"
"Noise","FUR","131","2.183333333333333"
"Pink","FUR","300","5"
"Red","FUR","315","5.25"
"Robot","FUR","183","3.05"
"Tan","FUR","360","6"
"Trippy","FUR","70","1.1666666666666667"
"White","FUR","226","3.7666666666666666"
"Zombie","FUR","162","2.7"
"Admirals Coat","CLOTHES","70","1.1666666666666667"
"Bandolier","CLOTHES","117","1.95"
"Basc T Black","CLOTHES","133","2.216666666666667"
"Basc T Red","CLOTHES","129","2.15"
"Biker Vest","CLOTHES","133","2.216666666666667"
"Black Coat","CLOTHES","70","1.1666666666666667"
"Black Holes T","CLOTHES","124","2.0666666666666664"
"Black T","CLOTHES","172","2.8666666666666667"
"Blue Dress","CLOTHES","48","0.8"
"Bone Necklace","CLOTHES","89","1.4833333333333334"
"Bone Tee","CLOTHES","105","1.7500000000000002"
"Caveman Pelt","CLOTHES","58","0.9666666666666667"
"Cowboy Shirt","CLOTHES","46","0.7666666666666666"
"EMPTY","CLOTHES","1223","20.383333333333333"
"Guayabera","CLOTHES","109","1.8166666666666669"
"Hawaiian","CLOTHES","113","1.8833333333333333"
"Hip Hop","CLOTHES","55","0.9166666666666666"
"Kings Robe","CLOTHES","65","1.0833333333333335"
"Lab Coat","CLOTHES","55","0.9166666666666666"
"Leather Jacket","CLOTHES","102","1.7000000000000002"
"Leather Punk Jacket","CLOTHES","129","2.15"
"Lumberjack Shirt","CLOTHES","106","1.7666666666666668"
"Navy Stripped T","CLOTHES","173","2.8833333333333333"
"Pimp Coat","CLOTHES","79","1.3166666666666667"
"Prison Jumpsuit","CLOTHES","125","2.083333333333333"
"Prom Dress","CLOTHES","62","1.0333333333333332"
"Puffy Vest","CLOTHES","116","1.9333333333333333"
"Rainbow Suspender","CLOTHES","64","1.0666666666666667"
"Sailor Shirt","CLOTHES","192","3.2"
"Service","CLOTHES","127","2.1166666666666667"
"Sleeveless Logo T","CLOTHES","128","2.1333333333333333"
"Sleeveless T","CLOTHES","184","3.0666666666666664"
"Smoking Jacket","CLOTHES","129","2.15"
"Spacesuit","CLOTHES","59","0.9833333333333333"
"Stripped Tee","CLOTHES","252","4.2"
"Stunt Jacket","CLOTHES","102","1.7000000000000002"
"Tanktop","CLOTHES","123","2.0500000000000003"
"Tie Dye","CLOTHES","102","1.7000000000000002"
"Toga","CLOTHES","119","1.9833333333333334"
"Tuxedo Tee","CLOTHES","117","1.95"
"Tweed Suit","CLOTHES","49","0.8166666666666665"
"Vietnam Jacket","CLOTHES","122","2.033333333333333"
"Wool Turtleneck","CLOTHES","133","2.216666666666667"
"Work Vest","CLOTHES","192","3.2"
"Boerd Unshaven Bubblegum","MOUTH","51","0.8500000000000001"
"Bored","MOUTH","966","16.1"
"Bored Bubblegum","MOUTH","37","0.6166666666666667"
"Bored Cigar","MOUTH","115","1.9166666666666665"
"Bored Cigarette","MOUTH","117","1.95"
"Bored Dagger","MOUTH","57","0.95"
"Bored Kazoo","MOUTH","60","1"
"Bored Party Horn","MOUTH","49","0.8166666666666665"
"Bored Pipe","MOUTH","43","0.7166666666666667"
"Bored Pizza","MOUTH","63","1.05"
"Bored Solana","MOUTH","504","8.4"
"Bored Unshaved Pipe","MOUTH","54","0.8999999999999999"
"Bored Unshaven","MOUTH","869","14.483333333333334"
"Bored Unshaven Cigar","MOUTH","63","1.05"
"Bored Unshaven Cigarette","MOUTH","254","4.233333333333333"
"Bored Unshaven Dagger","MOUTH","61","1.0166666666666666"
"Bored Unshaven Kazoo","MOUTH","60","1"
"Bored Unshaven Party Horn","MOUTH","53","0.8833333333333334"
"Bored Unshaven Pizza","MOUTH","76","1.2666666666666666"
"Bored Unshaven Solana","MOUTH","374","6.233333333333333"
"Discomfort","MOUTH","115","1.9166666666666665"
"Dumbfounded","MOUTH","213","3.55"
"Grin","MOUTH","231","3.85"
"Grin Diamond Grill","MOUTH","60","1"
"Grin Gold Grill","MOUTH","62","1.0333333333333332"
"Grin Multicolor","MOUTH","65","1.0833333333333335"
"Jovial","MOUTH","188","3.1333333333333333"
"Phoneme L","MOUTH","157","2.6166666666666667"
"Phoneme Oh","MOUTH","130","2.166666666666667"
"Phoneme Ooo","MOUTH","119","1.9833333333333334"
"Phoneme Vuh","MOUTH","187","3.1166666666666667"
"Phoneme Wah","MOUTH","68","1.1333333333333333"
"Rage","MOUTH","195","3.25"
"Small Grin","MOUTH","166","2.7666666666666666"
"Tongue Out","MOUTH","118","1.9666666666666666"
